"","seed","auth_type","model_type","(Intercept)","fieldNeuro","fieldNeurology","gendermale","affil_lmicTrue","document_typeReview"
"39",7,"fa","papers",2.2974196539164,-0.194186839400627,0.0244834800070092,0.247396764220384,0.0727648812466708,0.139753063521623
"40",7,"la","rate",-2.92666844709237,0.187932274768209,-0.0563935583027298,-0.0521361202724239,-0.233997754818953,-0.159989691018633
"41",7,"la","count",0.741254425509403,0.189473539883562,-0.0158429543932264,-0.0353934559172487,-0.2257171081401,-0.147940169869864
"42",7,"la","papers",3.72027116686905,-0.113268055022064,0.0718823731624676,0.250688340511495,0.0124527446818386,-0.0132487336969284
"43",8,"fa","rate",-3.62384295492927,0.100526843739159,-0.15818135928605,-0.0253506127532425,-0.132101735034077,-0.0574503969518679
"44",8,"fa","count",0.0580126810093968,0.14452863860634,-0.113366601877982,-0.0111425662590853,-0.122139565762552,-0.0489154306675303
"45",8,"fa","papers",2.30491810531053,-0.202313786161521,0.0237411360712508,0.239853266319623,0.0663749170116908,0.14843084610089
"46",8,"la","rate",-2.93666667960983,0.185744654109114,-0.0533692717286395,-0.0408689138543572,-0.252649215513112,-0.139542080247523
"47",8,"la","count",0.737660942571331,0.184286503062051,-0.0171132654025597,-0.0294399309354776,-0.238482470830377,-0.131022176054292
"48",8,"la","papers",3.7213747902275,-0.114771249805474,0.0718982162746518,0.245705042771655,0.0113249645775092,-0.00816476311831672
"49",9,"fa","rate",-3.62710410540723,0.103653320363734,-0.145071358316924,-0.0296691085667504,-0.117378883189254,-0.0649112387492979
"50",9,"fa","count",0.0533665426821821,0.148449766654979,-0.102276956967863,-0.0161925571521624,-0.116672796137799,-0.0493849161809964
"51",9,"fa","papers",2.29404037888821,-0.18924547400154,0.0256207245565923,0.24735023775354,0.0621139932155699,0.154965282065657
"52",9,"la","rate",-2.92927404066416,0.190140451650657,-0.0576293681834603,-0.0408570773787641,-0.255145716719797,-0.159965578938329
"53",9,"la","count",0.742767359436806,0.189937929724937,-0.0193296140229067,-0.0261022000834681,-0.253945072481156,-0.151567138431797
"54",9,"la","papers",3.72127751242524,-0.111572634817547,0.0709641511660039,0.249434894292243,0.0065372862118532,-0.0157736466674449
"55",10,"fa","rate",-3.61878928663543,0.0960215659389364,-0.154015382683863,-0.0268067884511075,-0.139393575373353,-0.0647663099277503
"56",10,"fa","count",0.0631600773177546,0.135960470335119,-0.112332220843988,-0.0156650349768377,-0.12931113036866,-0.045959686705181
"57",10,"fa","papers",2.29642986162868,-0.188310777114626,0.0289670518618324,0.239165954081248,0.0659965456822298,0.155244549701916
"58",10,"la","rate",-2.93058166789847,0.191880064016095,-0.0626500575265655,-0.0444174942871657,-0.23602850958968,-0.156559943322506
"59",10,"la","count",0.743549909338309,0.198818155988205,-0.0201589575528298,-0.0338469262700133,-0.237978573390939,-0.145591614305092
"60",10,"la","papers",3.71423234723782,-0.11031127546577,0.0741190062844576,0.253440082156133,0.00461185125874699,-0.0037591727680125
"61",11,"fa","rate",-3.62937269521314,0.106282068901144,-0.149511521569818,-0.0263387109827366,-0.133501958483843,-0.0657834058483067
"62",11,"fa","count",0.052237164117772,0.147230030196647,-0.101381343987647,-0.0145922417838695,-0.118504809650459,-0.0582472661029903
"63",11,"fa","papers",2.29673281929735,-0.190549314588318,0.0293839857292283,0.241453758775983,0.0545854991281335,0.142849788341835
"64",11,"la","rate",-2.92339377990461,0.178132804509852,-0.0642904408254742,-0.04502680180227,-0.230733113602199,-0.154405519922632
